step,time,pos_error,rot_error,ik_pos_error,ik_rot_error,target_x,target_y,target_z,ik_x,ik_y,ik_z,actual_x,actual_y,actual_z
0,0.0681312084197998,0.00388858076373929,0.01894604367199289,1.1256978746377986e-07,3.299253323240988e-08,0.1924361465504681,0.011560984477327015,0.21582732298396412,0.1924362520804319,0.011560992390126375,0.21582728460726036,0.1928199677744817,0.012308121954620077,0.21203054445287436
1,0.13652825355529785,0.006342581504926278,0.030837123015069953,8.783098209730816e-05,1.4182001006752332e-05,0.19229328471447446,0.011636683804714292,0.215675699048434,0.19229835641346787,0.011548999381838638,0.21567566340490218,0.19342468683855002,0.01210921635460861,0.20945275903831334
2,0.20471692085266113,0.007925931628030992,0.04188710185385722,0.00014108792562856306,2.2656024684949578e-05,0.19206511429831752,0.011624117644573157,0.2156668330347257,0.19207361228873995,0.011483285876435384,0.21566683266101777,0.19443124884357937,0.01193350199889813,0.2081086533062964
3,0.2728562355041504,0.007532377079144554,0.038235412412428005,0.00019019279555212052,3.0536243156524165e-05,0.19200086798812613,0.01149219242233089,0.21568799538958336,0.19201211893556652,0.01130233269605549,0.215687994885776,0.19413192065171003,0.012154317997881539,0.20849376793073443
4,0.3410224914550781,0.006481667931998317,0.030221900825343328,0.00043256829916540765,6.919901416695774e-05,0.19139507423661226,0.011569872959512588,0.2156460037515002,0.19142032618982285,0.01113804235348681,0.21564600260560457,0.19276360106192453,0.012067060363728153,0.20932999566140204
5,0.4093637466430664,0.005427225547924775,0.024687658633462183,0.0006953277699523639,0.00011128713133420373,0.19146207192156717,0.011850872848819988,0.2154095299184596,0.19150273827713127,0.011156735286669179,0.21540952807651237,0.19173482047526752,0.01223725739857218,0.21000295130031166
6,0.4776296615600586,0.0052625289042191395,0.022474977066847757,0.00039550354632389065,6.335028588534736e-05,0.1915643399759307,0.011771965879925688,0.21545364644631038,0.19158805725509487,0.011377174104653298,0.21545364539870018,0.1916284733066122,0.011759085760430589,0.21019152410963296
7,0.5459702014923096,0.005344873791439541,0.024761250509262006,0.0004742732545595456,7.617001457601299e-05,0.19191372239832902,0.012109643538145783,0.21514866163579832,0.1919429053797172,0.011636268978641132,0.21514866037966263,0.19191454639125977,0.011776888476409711,0.20981415610704104
8,0.6141695976257324,0.004864809350779681,0.02303576355636617,0.0005272609434060922,8.492692001322856e-05,0.19234613269607834,0.012461937602379645,0.21480962365640377,0.19237946970425218,0.011935731610086181,0.21480962226007583,0.19175341740290835,0.012002640882583376,0.21000295067773544
9,0.6823034286499023,0.0055418169274920395,0.026536939700731697,0.0005465912675461429,8.83488417606225e-05,0.19292199104801466,0.012570772612776912,0.21453053922423493,0.19295671730231279,0.012025285581750485,0.21453053777674325,0.1918719775367469,0.012010203608992525,0.2091180565336401
10,0.7504756450653076,0.006328457189921922,0.032274644045638866,0.00031746210370643305,5.158557732808779e-05,0.19374552781088694,0.012396972623568444,0.21434721785945177,0.19376570854545488,0.012080152603302512,0.2143472170187455,0.19239847588239595,0.011807006675435036,0.2081919955493588
11,0.8187944889068604,0.007369513982540522,0.03922506898496903,0.00022238094397506453,3.627585951788373e-05,0.19444630657587939,0.011894172399352806,0.21428728342000006,0.19443218419255756,0.012116104466734258,0.2142872840089138,0.19284359302248877,0.011834708273098937,0.20709440432868154
12,0.8870303630828857,0.009454952628674917,0.045679441383014295,0.0008210183171207051,0.0001352602416869061,0.19613464060313926,0.01144036196693107,0.21418264586959587,0.19608230032637095,0.012259710227727908,0.21418264804379936,0.1928447671789045,0.012072246774026796,0.205341063225433
13,0.9552292823791504,0.011668751940508051,0.05695990428579212,0.0017516701505707881,0.0002915626034412774,0.198005594225919,0.010623581986123398,0.21422302348434924,0.19789381608433038,0.012371682087216628,0.21422302812306698,0.19345615617158257,0.012111238681241726,0.20358115979435887
14,1.0237617492675781,0.014822619847314492,0.07688517613568135,0.002326004525515632,0.00039191647965406806,0.20010930511143996,0.009901517484674407,0.2142025545908044,0.1999646823598348,0.012223021590292014,0.2142025607510937,0.19533157922621064,0.012230839755054896,0.20036573225819057
15,1.0919842720031738,0.01584928515162068,0.08163639964038534,0.0032923010410800353,0.0005618384895955956,0.20205578234671895,0.008815609088364183,0.21416029366957035,0.20185573948016017,0.012101827126863696,0.21416030238980197,0.19815321440602063,0.012165135657569277,0.19916861347528236
16,1.1617178916931152,0.01632570951119173,0.0835636704021796,0.004048259556350481,0.0007013664623816825,0.2044386682677057,0.007736784248412575,0.21380237352468812,0.20420420514976317,0.011778248399161985,0.2138023842490232,0.20060361512057978,0.012317620324257712,0.19860904935751617
17,1.2299950122833252,0.016556668775296282,0.08369254186698198,0.005127809139422735,0.0009009765976395556,0.20674213146530587,0.006660090944893345,0.2133340556121143,0.20644975874060428,0.011779558178894686,0.21333406919701314,0.20258803839404083,0.012441107321260074,0.1983859239112522
18,1.298182487487793,0.015760885310736935,0.07669321081808671,0.006115581883297209,0.001089881944953886,0.2091898696267015,0.005682830863109914,0.21280936842667794,0.20884663428038386,0.011788773154688563,0.2128093846292639,0.204470614980725,0.012558253240365918,0.19943541207491128
19,1.3665106296539307,0.0160068302295905,0.07390429490856557,0.007197699506458077,0.001304220118505916,0.21207241005499963,0.00469559034626093,0.21262930475522657,0.21167188954734273,0.011882137605400706,0.21262932382528074,0.20673291414704054,0.012699030201647248,0.19983659792949832
20,1.4346988201141357,0.016635232002018236,0.07191022942955277,0.008861214842136311,0.0016318461341120146,0.21499825391596422,0.003440889138997809,0.21265401248481425,0.2144929458647734,0.012287684731264395,0.21265403596046478,0.20921484900702453,0.01285347467707158,0.2002167135453874
21,1.5028777122497559,0.017697267569296637,0.07270926133431758,0.010716246055499229,0.002006407563001333,0.21820340122758014,0.002092860259438301,0.21298362792190534,0.21757262885791523,0.012790526160879804,0.21298365630898225,0.21191643067861488,0.013021587387876335,0.2005646825525165
22,1.57151460647583,0.01860323422157336,0.07230455838479775,0.012566382012219839,0.0023914056578581895,0.2214285954162463,0.0005393120566127181,0.2130662094077756,0.22068098777127232,0.013083435767941094,0.21306624269456992,0.214925981907939,0.013208863896532832,0.20109629724268957
23,1.6397132873535156,0.021269911773065437,0.07991026797082444,0.014854526822287788,0.0028804189807068964,0.22513494443806606,-0.0011667746548676555,0.21300218789370626,0.2242213100009855,0.01365962879397657,0.21300222723670514,0.21833500599093034,0.013421005461398402,0.19909655395531187
24,1.70798921585083,0.024448039012202154,0.09191401711732473,0.01780919927296,0.0035308197908378992,0.22959645913541973,-0.002978387103231955,0.21243080971887401,0.22841964621430472,0.014791888361444223,0.21243085687366364,0.22217600125705028,0.0136600302395118,0.1961272369587031
25,1.7784030437469482,0.027489396048047846,0.10239806519330892,0.02168447544097258,0.004407067689526836,0.23482651838478785,-0.0051648504276500425,0.21162633212577434,0.23324576422163193,0.016461931381544656,0.21162638951410034,0.22628820966497865,0.01391593039371502,0.19377449797522595
26,1.8473951816558838,0.03055940975799549,0.11162297593681192,0.02518267421831901,0.005235085426076068,0.23969315420663162,-0.007076824221202132,0.21046492097023844,0.23770553305741904,0.018027287851300138,0.21046498758592833,0.2308080034915323,0.014789140045393672,0.1910532948606361
27,1.9156286716461182,0.034225397941312664,0.11621311832703686,0.028705239222925963,0.006099763111267036,0.24458896436333669,-0.009141410623653097,0.20912508541164213,0.24217921143392496,0.019462502564210508,0.2091251613143239,0.23509119324659605,0.016885933707181902,0.1890316149513317
28,1.9839146137237549,0.03854240322778692,0.12322894891742908,0.031737475363464204,0.006876477011920359,0.24908013101538615,-0.010904770939612663,0.20785879120820128,0.24628705330441636,0.020709562191736842,0.20785887509926446,0.23943313603539612,0.019403084824134935,0.18608986350302392
29,2.0525286197662354,0.041336550902794755,0.12652948848500103,0.03417108746790854,0.007555745016434925,0.2538669905965388,-0.012145827266937647,0.20701178998925548,0.25074015640403363,0.021881898585136037,0.20701188028444248,0.2433522964257155,0.02075658496092305,0.18430533899793322
30,2.120878219604492,0.04306281860414989,0.12909820017115692,0.03698833189244464,0.00831344932240851,0.2578652802756035,-0.01330825480030769,0.2066461478367531,0.25426106964594636,0.02350405783980175,0.20664624552105654,0.24792304061239875,0.02120258883498167,0.18288567881373247
31,2.1891276836395264,0.04414992590148444,0.13063009420553237,0.03931425948936221,0.008978063774485142,0.26191203934502266,-0.01361723319393444,0.20634262425892938,0.25779463749760556,0.025480823039247133,0.20634272800863093,0.2517244305074963,0.021897455351792355,0.18217372935700754
32,2.2574312686920166,0.04408066121713888,0.13287777072857346,0.04049789376887777,0.009386348554442784,0.2657550497778861,-0.013368578363223055,0.20565101393074184,0.26133641714714717,0.026887540244740958,0.20565112075345196,0.2555386708758066,0.022246669228721143,0.18177038507734206
33,2.3256216049194336,0.04565627911115934,0.12933621415026061,0.042230000579210565,0.009951409304147549,0.2701484205435836,-0.01326832932687403,0.20441573620909076,0.26529596108164055,0.028681957752929508,0.2044158475274088,0.2589586397545678,0.024948779972284597,0.18208331168809394
34,2.393796920776367,0.04858414468003361,0.1307395877431563,0.04429441344991514,0.010607993428137045,0.2745026414973538,-0.013118581192835706,0.2029020434162815,0.26909129114813835,0.030844043276780066,0.20290216007449358,0.2626591755682727,0.028110764675300208,0.18009212302267302
35,2.4620039463043213,0.05225617028403295,0.14494568085867296,0.04595523542705381,0.011176349399648008,0.27885234916514046,-0.013129888591087276,0.20049341173508411,0.27303171023530676,0.03245523865004055,0.20049353269873346,0.265964735941123,0.03099131186189794,0.17563508458441937
36,2.530266284942627,0.053918801691593424,0.15627238253855238,0.04721754090673394,0.011656326493031315,0.28317239981285214,-0.013194256704770545,0.19766172989926184,0.2770752883448508,0.03362797520497957,0.19766185414566442,0.26952961397634306,0.03189173589576854,0.1714250219941023
37,2.598517417907715,0.0551340275240392,0.16209405856453496,0.048112945857826085,0.012039163786486281,0.28697873998084655,-0.013348104561091288,0.19378600420439182,0.2807287035213806,0.03435716352700801,0.19378613079399917,0.27298872123295354,0.03277797653036724,0.16701988738481363
38,2.6698410511016846,0.055737485763948116,0.1640371267353487,0.048843241489258886,0.012376265197117152,0.2904873972127393,-0.013696795834834734,0.18971238978987892,0.284167719421207,0.034735878175308016,0.1897125183097138,0.2765081619469031,0.032917397476315446,0.1625395120876656
39,2.737981081008911,0.05680063912870264,0.15728602837309005,0.0493673207255632,0.012671011025404605,0.29369001913581066,-0.01450470675347218,0.18561245435190457,0.28744178577921337,0.03446561012854565,0.18561258429841554,0.27973340087432363,0.033350707611887055,0.15838407342222016
40,2.806546211242676,0.05795157112655548,0.1553993164243686,0.04965465376024966,0.012913524275855112,0.29680620697171745,-0.015401265254326498,0.18150090455277146,0.29071435121476713,0.03387828358157182,0.18150103531985215,0.2826789038202744,0.033344946760037665,0.1535257241967111
