step,time,target_x,target_y,target_z,ik_x,ik_y,ik_z,actual_x,actual_y,actual_z,pos_error,ik_error,ik_shoulder_pan,actual_shoulder_pan,ik_shoulder_lift,actual_shoulder_lift,ik_elbow_flex,actual_elbow_flex,ik_wrist_flex,actual_wrist_flex,ik_wrist_roll,actual_wrist_roll,ik_gripper,actual_gripper
0,0.006125211715698242,0.23266238475638684,0.00027513416748371576,0.1985934214826538,0.23266238475638684,0.00027513416748370736,0.19859342148265377,0.23266238475638684,0.00027513416748371576,0.1985934214826538,0.0,2.8999570810637146e-17,-0.08791208791208541,-0.08791208791208792,-80.30769230769229,-80.3076923076923,50.46153846153844,50.46153846153846,40.131868131868146,40.13186813186813,0.08791208791209364,0.08791208791208792,0.0,0.43252595155709345
1,2.033388614654541,0.2325321615629333,0.0003037478027946602,0.1984163540098163,0.23253966081049587,0.00029203795986360297,0.1984050061695028,0.23297723128502434,0.0002756258381951793,0.1961092678828339,0.002349792395027662,1.7948053244174106e-05,-0.0936494931311422,-0.08791208791208792,-80.42925720393033,-80.3076923076923,50.56397808665847,50.989010989010985,40.15137197290757,40.13186813186813,0.104623054741895,0.08791208791208792,0.0,0.43252595155709345
2,4.025205850601196,0.23230525240614602,0.00028604355754381156,0.19839405944421873,0.23230595098018425,0.00027387163491277824,0.19839184840385277,0.2328550432599488,0.00027543691869747996,0.1963604141351903,0.0021066788380401475,1.239081941288233e-05,-0.08828345762851177,-0.08791208791208792,-80.58511940316465,-80.3956043956044,50.61943223795314,50.989010989010985,40.22375573106907,40.13186813186813,0.10218193956381587,0.08791208791208792,0.0,0.43252595155709345
3,6.02117133140564,0.23223855226987303,0.00016430747801303235,0.1984461278286918,0.2322502066853133,0.00011914506815328778,0.19843439929136117,0.2324861691208967,0.00027486660412333216,0.19711272387562107,0.0013606996462635834,4.809394194189206e-05,-0.04562214325249456,-0.08791208791208792,-80.56644512263273,-80.65934065934066,50.55845579279366,50.989010989010985,40.294214334563186,40.13186813186813,0.17924017380464238,0.08791208791208792,0.0,0.43252595155709345
4,8.012984275817871,0.23163838250703236,0.00021884074608907213,0.19833839662920094,0.23163898659668386,0.00012772682330911635,0.1983376707660883,0.2324861691208967,0.00027486660412333216,0.19711272387562107,0.0014913600297326297,9.111881653048994e-05,-0.05076084910496712,-0.08791208791208792,-80.8789872488018,-80.65934065934066,50.595930344038244,50.989010989010985,40.592417984998406,40.13186813186813,0.23884315183791188,0.08791208791208792,0.0,0.43252595155709345
5,10.00916862487793,0.2317254918341215,0.0004240057279574107,0.19803891575060928,0.23172572028985342,0.00029461408651627386,0.19803891540725868,0.2318984502846358,0.00027396357580361064,0.1961855467140735,0.0018674592521971585,0.00012939184312378834,-0.10079964367563753,-0.08791208791208792,-80.93659696980988,-80.83516483516483,50.75613266270236,50.989010989010985,40.4851763596418,40.65934065934066,0.25081020671968,0.08791208791208792,0.0,0.43252595155709345
6,12.033592462539673,0.23182346127999762,0.0003618863302815521,0.19811084975383522,0.23182139898732979,0.00029268070516332684,0.1981090620418046,0.2318984502846358,0.00027396357580361064,0.1961855467140735,0.0019287678855910311,6.925942183816287e-05,-0.1049469535501595,-0.08791208791208792,-80.8032095021057,-80.83516483516483,50.64094109490871,50.989010989010985,40.5193206595719,40.65934065934066,0.36733924801077295,0.08791208791208792,0.0,0.43252595155709345
7,14.029109716415405,0.2321978081804706,0.000606388895503937,0.1977514156064717,0.23219753659612785,0.0005352005362192757,0.19774836092611886,0.23189840580608054,0.00024971536736336094,0.19618511769017227,0.001634058429209479,7.125438462126537e-05,-0.178000523467376,-0.08791208791208792,-80.64366052422099,-80.83516483516483,50.71533906883564,50.989010989010985,40.355987776264584,40.65934065934066,0.40152983118031266,0.26373626373626374,0.0,0.43252595155709345
8,16.021241426467896,0.23265766056257664,0.000856626890352831,0.19736160378344497,0.232660376619794,0.0008006481159970476,0.19735949489013174,0.23189840580608054,0.00024971536736336094,0.19618511769017227,0.0015260828646123427,5.608428992320621e-05,-0.2532307095713026,-0.08791208791208792,-80.50688820761614,-80.83516483516483,50.872535202258895,50.989010989010985,40.08258055197132,40.65934065934066,0.3325966920479523,0.26373626373626374,0.0,0.43252595155709345
9,18.017264366149902,0.23325405054120202,0.0008916557526447394,0.19710775738606312,0.23325439765200806,0.0008487583828001197,0.19710655692833393,0.23212645614823058,0.0002500641958636439,0.19713661710270441,0.0012976678018807595,4.291556738827225e-05,-0.2650448943289043,-0.08791208791208792,-80.32028299485106,-80.83516483516483,51.02778230137037,50.989010989010985,39.708906814080656,40.30769230769231,0.2935073837532286,0.26373626373626374,0.0,0.43252595155709345
10,20.00914978981018,0.23408784886881184,0.0006852397824096868,0.1970429595856068,0.23408807290086173,0.0006827492510399632,0.1970428368835406,0.2330492236490252,0.0008474824354579092,0.19542911150742265,0.0019260245702232563,2.503595945835204e-06,-0.21635576090823982,-0.26373626373626374,-79.88052120944874,-80.48351648351648,50.98817083555459,51.34065934065934,39.33543219302941,39.956043956043956,0.3221138356246795,0.26373626373626374,0.0,0.43252595155709345
11,22.005160570144653,0.23478724352560382,0.0001953668288501409,0.19717846856460705,0.23478704498119518,0.00030368789478422265,0.19717846885204526,0.2339424150840485,0.0008515997251725784,0.1953574160155628,0.0021120154109894773,0.00010832124789283267,-0.10465626039659272,-0.26373626373626374,-79.5402959136155,-80.04395604395604,50.9626044984446,51.34065934065934,38.967782380677974,39.51648351648352,0.3198615001217011,0.26373626373626374,0.0,0.43252595155709345
12,24.029356241226196,0.23647506336956947,-0.0002461397069508711,0.19733241942135618,0.2364750135552492,-1.6301481213443393e-05,0.1973324200312494,0.23465655581436978,0.0008548916690241397,0.19529512721793052,0.002944452299042856,0.0002298382311365262,-0.012055584782813425,-0.26373626373626374,-78.73551482557383,-79.6923076923077,50.945475900530205,51.34065934065934,38.0782055986785,39.16483516483517,0.3463983914053875,0.26373626373626374,0.0,0.43252595155709345
13,26.025251150131226,0.23833102700439884,-0.0009934809190156823,0.19773998223412786,0.23833206863684103,-0.000575731216873336,0.19773998334265858,0.23642323883378144,0.0005598609497496356,0.19519681891388488,0.0035383903598439157,0.0004177510007640825,0.14322560244021712,-0.17582417582417584,-77.85473989374088,-78.9010989010989,50.897083820139336,51.42857142857143,37.05905760173779,38.1978021978022,0.48532000485410465,0.26373626373626374,0.0,0.43252595155709345
14,28.017226457595825,0.24042445532408577,-0.0016635082684823797,0.1980805946693302,0.24042710018653626,-0.0011646862218925077,0.19808059599299255,0.2383798992857253,-4.6468007616634214e-05,0.194974157856976,0.0040552408397537005,0.0004988290583589158,0.3041542752261271,0.0,-76.76719757244378,-77.93406593406593,50.73321991201478,51.42857142857143,36.031422171603374,37.23076923076923,0.6122171453519246,0.26373626373626374,0.0,0.43252595155709345
15,30.01338481903076,0.2423599698654863,-0.002691264743707999,0.19848956501759377,0.24236573920381754,-0.002102875204795639,0.1984895665789302,0.24058889205522738,-0.000689828733628851,0.1948516890269201,0.004514045240795998,0.0005884178232928687,0.5621470341752207,0.17582417582417584,-75.376792816575,-76.79120879120879,50.04308916697348,51.34065934065934,35.55995203389611,36.175824175824175,0.6947942371606937,0.43956043956043955,0.0,0.43252595155709345
16,32.00524878501892,0.24475485591032559,-0.0037938268188572348,0.19862737967763647,0.24476433852379387,-0.0031538912910812618,0.19862738137575414,0.2424488936884101,-0.0019452401873718648,0.1946049030567597,0.0049914980184818224,0.0006400057809668484,0.8493135976817372,0.5274725274725275,-73.87239175257209,-75.47252747252747,49.50378512711037,50.81318681318681,34.77649219789712,35.73626373626374,0.6601042543463668,0.43956043956043955,0.0,0.43252595155709345
17,34.03373122215271,0.2470790377811757,-0.004926108568379231,0.1986528651772413,0.2470942604952837,-0.004145396739720338,0.19865286724891956,0.24505285824567502,-0.002602093549006358,0.19418990601243097,0.005424431198486798,0.0007808602246478039,1.117403038122887,0.7032967032967034,-72.47735022723518,-73.8021978021978,49.06456234599433,50.285714285714285,33.960423281211206,34.94505494505494,0.5312973376471595,0.43956043956043955,0.0,0.43252595155709345
18,36.02546763420105,0.2495521584624016,-0.005976531028933724,0.198607668194861,0.24957397653902624,-0.005055406408246513,0.19860767063913531,0.24745566096893812,-0.00391227508305793,0.1934860014177908,0.005906600115593322,0.0009213829797156719,1.3572364489314186,1.054945054945055,-71.12518388049092,-72.3956043956044,48.77684586983388,50.02197802197802,32.92973200119477,34.065934065934066,0.3798876696851714,0.43956043956043955,0.0,0.43252595155709345
19,38.021448850631714,0.2524322834677453,-0.006934777026041506,0.19892821561300503,0.25246082784533214,-0.005890691087475768,0.1989282183835665,0.24979629436835682,-0.004603002619517354,0.19366439024000298,0.006331940300766914,0.0010444760545891866,1.5663878817104258,1.2307692307692308,-69.42997423124804,-71.07692307692308,48.17432834278289,49.67032967032967,31.904817992089598,33.0989010989011,0.28258983461935727,0.43956043956043955,0.0,0.43252595155709345
