file,count,mean_pos_err,max_pos_err,mean_rot_err,max_rot_err
rs435_2025-12-03-09-24-19_segment_1,128,3.0288186931609852e-05,0.0006910341870526806,7.407720311213489e-05,0.0018163423680984433
rs435_2025-12-03-09-24-19_segment_8,132,0.0036426900974842746,0.021771839515819583,0.01213205081755713,0.07301522869274686
rs435_2025-12-03-09-24-19_segment_4,114,2.5118649383869668e-05,0.0004747255054775364,7.428271731592181e-05,0.0013476426625457936
rs435_2025-12-03-09-24-19_segment_3,168,5.5366291409052824e-06,4.666940807612471e-05,9.886912386143653e-06,0.00018244487527330794
rs435_2025-12-03-09-24-19_segment_2,111,0.0001602478731156814,0.0020407765079544777,0.0005190933964940201,0.00474611086151877
rs435_2025-12-03-09-24-19_segment_5,195,0.00017482915236690367,0.0053527145634517685,0.0003992484425750647,0.013098930151454056
rs435_2025-12-03-09-24-19_segment_9,138,4.84492015348126e-05,0.001315234792454536,0.0001356079854912231,0.0032968667472199733
rs435_2025-12-03-09-24-19_segment_6,171,0.000699824497656201,0.006111535543212788,0.0024385526178504055,0.021251828507214073
