dx dy dz r0 r1 r2 r3 r4 r5 gripper
-0.040416 -0.061174 0.115617 0.993649 -0.112217 0.008277 0.112253 0.983504 -0.141841 0.205340
-0.039055 -0.061210 0.116791 0.993608 -0.112217 0.012243 0.112818 0.983495 -0.141454 0.205340
-0.037693 -0.061222 0.117802 0.993550 -0.112216 0.016329 0.113397 0.983486 -0.141054 0.205340
-0.035884 -0.061200 0.118881 0.993441 -0.112214 0.021979 0.114197 0.983473 -0.140497 0.205340
-0.034078 -0.061155 0.119795 0.993297 -0.112212 0.027748 0.115010 0.983460 -0.139923 0.205340
-0.032720 -0.061120 0.120473 0.993167 -0.112210 0.032075 0.115617 0.983451 -0.139489 0.205340
-0.030451 -0.061059 0.121590 0.992908 -0.112206 0.039285 0.116625 0.983435 -0.138761 0.205340
-0.029085 -0.061021 0.122253 0.992728 -0.112203 0.043609 0.117228 0.983425 -0.138320 0.205340
-0.027717 -0.060982 0.122910 0.992529 -0.112200 0.047933 0.117828 0.983416 -0.137877 0.205340
-0.027260 -0.060968 0.123128 0.992458 -0.112199 0.049374 0.118028 0.983413 -0.137728 0.205340
-0.027260 -0.060968 0.123128 0.992458 -0.112199 0.049374 0.118028 0.983413 -0.137728 0.205340
-0.027260 -0.060968 0.123128 0.992458 -0.112199 0.049374 0.118028 0.983413 -0.137728 0.205340
-0.027703 -0.061003 0.123065 0.992535 -0.112200 0.047813 0.117811 0.983416 -0.137889 0.205340
-0.029032 -0.061105 0.122874 0.992749 -0.112203 0.043127 0.117161 0.983426 -0.138369 0.205340
-0.031244 -0.061274 0.122542 0.993057 -0.112208 0.035315 0.116071 0.983444 -0.139163 0.205340
-0.032128 -0.061340 0.122404 0.993163 -0.112210 0.032189 0.115633 0.983451 -0.139478 0.205340
-0.032570 -0.061374 0.122334 0.993212 -0.112211 0.030627 0.115414 0.983454 -0.139634 0.205340
-0.033454 -0.061440 0.122192 0.993304 -0.112212 0.027500 0.114975 0.983461 -0.139947 0.205340
-0.035220 -0.061570 0.121900 0.993457 -0.112214 0.021248 0.114093 0.983475 -0.140569 0.205340
-0.035661 -0.061603 0.121825 0.993489 -0.112215 0.019685 0.113872 0.983479 -0.140724 0.206929
-0.035661 -0.061603 0.121825 0.993489 -0.112215 0.019685 0.113872 0.983479 -0.140724 0.208519
-0.035661 -0.061603 0.121825 0.993489 -0.112215 0.019685 0.113872 0.983479 -0.140724 0.221233
-0.036102 -0.061635 0.121750 0.993519 -0.112215 0.018121 0.113651 0.983482 -0.140878 0.235537
-0.036102 -0.061635 0.121750 0.993519 -0.112215 0.018121 0.113651 0.983482 -0.140878 0.253020
-0.036102 -0.061635 0.121750 0.993519 -0.112215 0.018121 0.113651 0.983482 -0.140878 0.270502
-0.036102 -0.061635 0.121750 0.993519 -0.112215 0.018121 0.113651 0.983482 -0.140878 0.281627
-0.036102 -0.061635 0.121750 0.993519 -0.112215 0.018121 0.113651 0.983482 -0.140878 0.305467
-0.036102 -0.061635 0.121750 0.993519 -0.112215 0.018121 0.113651 0.983482 -0.140878 0.327718
-0.036102 -0.061635 0.121750 0.993519 -0.112215 0.018121 0.113651 0.983482 -0.140878 0.351558
-0.036102 -0.061635 0.121750 0.993519 -0.112215 0.018121 0.113651 0.983482 -0.140878 0.373808
-0.036102 -0.061635 0.121750 0.993519 -0.112215 0.018121 0.113651 0.983482 -0.140878 0.394469
-0.036102 -0.061635 0.121750 0.993519 -0.112215 0.018121 0.113651 0.983482 -0.140878 0.416720
-0.036102 -0.061635 0.121750 0.993519 -0.112215 0.018121 0.113651 0.983482 -0.140878 0.438970
-0.036102 -0.061635 0.121750 0.993519 -0.112215 0.018121 0.113651 0.983482 -0.140878 0.465989
-0.036106 -0.061589 0.121756 0.992831 -0.118142 0.018121 0.119518 0.982786 -0.140878 0.494596
-0.036113 -0.061516 0.121767 0.991680 -0.127446 0.018121 0.128727 0.981623 -0.140878 0.526383
-0.036123 -0.061423 0.121780 0.990089 -0.139271 0.018121 0.140433 0.980016 -0.140878 0.554990
-0.036134 -0.061330 0.121794 0.988356 -0.151076 0.018121 0.152118 0.978271 -0.140878 0.580420
-0.036146 -0.061238 0.121807 0.986483 -0.162860 0.018121 0.163781 0.976386 -0.140878 0.602670
-0.036157 -0.061165 0.121817 0.984912 -0.172103 0.018121 0.172929 0.974807 -0.140878 0.623331
-0.036165 -0.061112 0.121825 0.983716 -0.178815 0.018121 0.179572 0.973605 -0.140878 0.640814
-0.036170 -0.061079 0.121830 0.982945 -0.183006 0.018121 0.183720 0.972831 -0.140878 0.655118
