run,steps,xyz_end_mm,rot_2nd_diff_deg,rot_vel_deg_s,rot_vel_deg_s_lo,rot_vel_deg_s_hi,rot_accel_deg_s2,rot_accel_deg_s2_lo,rot_accel_deg_s2_hi,rot_jerk_deg_s3,rot_jerk_deg_s3_lo,rot_jerk_deg_s3_hi,xyz_vel_mm_s,xyz_vel_mm_s_lo,xyz_vel_mm_s_hi,xyz_accel_mm_s2,xyz_accel_mm_s2_lo,xyz_accel_mm_s2_hi,xyz_jerk_mm_s3,xyz_jerk_mm_s3_lo,xyz_jerk_mm_s3_hi,gt_rot_vel_deg_s,gt_rot_accel_deg_s2,gt_rot_jerk_deg_s3,gt_xyz_vel_mm_s,gt_xyz_accel_mm_s2,gt_xyz_jerk_mm_s3
act_r50_v1_vae_state10_seed1000_0300000steps,300000,8.494,0.0269,5.075,4.752,5.422,18.37,17.34,19.43,676.3,637.6,715.1,58.59,56.00,61.26,206.95,199.69,214.51,8056.20,7760.37,8360.78,8.252,65.95,2793.0,73.45,627.72,29521.30
act_r50_v1_vae_state10_seed1000_0400000steps,400000,8.184,0.0276,5.146,4.824,5.485,18.88,17.81,20.05,697.0,653.4,744.2,62.13,59.46,64.84,208.85,201.08,216.75,7900.22,7589.81,8216.80,8.252,65.95,2793.0,73.45,627.72,29521.30
act_r50_v1_vae_state10_seed1000_0500000steps,500000,8.585,0.0276,5.075,4.761,5.395,18.31,17.33,19.35,648.2,614.2,683.3,58.70,56.12,61.38,201.04,193.72,208.47,6779.94,6509.05,7048.29,8.252,65.95,2793.0,73.45,627.72,29521.30
act_r50_v1_vae_state5_seed1000_0100000steps,100000,9.332,0.0427,5.615,5.278,5.956,26.91,25.49,28.43,1263.4,1184.3,1349.7,64.90,61.87,67.93,313.27,302.80,324.53,14834.23,14220.67,15496.02,8.252,65.95,2793.0,73.45,627.72,29521.30
act_r50_v1_vae_state5_seed1000_0200000steps,200000,8.158,0.0326,5.107,4.798,5.425,21.82,20.60,23.08,1004.6,942.3,1068.2,63.57,60.74,66.38,274.07,262.22,286.71,12600.75,11949.38,13309.18,8.252,65.95,2793.0,73.45,627.72,29521.30
act_r50_v1_vae_state5_seed1000_0300000steps,300000,8.437,0.0328,6.022,5.662,6.400,22.05,20.75,23.38,791.1,746.3,838.3,67.53,64.48,70.52,246.28,238.17,254.53,9247.45,8888.64,9607.19,8.252,65.95,2793.0,73.45,627.72,29521.30
act_r50_v1_vae_state5_seed1000_0400000steps,400000,8.550,0.0290,5.501,5.181,5.832,19.35,18.18,20.57,602.1,565.0,640.7,63.72,61.02,66.43,212.50,205.21,219.84,6605.43,6314.59,6916.96,8.252,65.95,2793.0,73.45,627.72,29521.30
act_r50_v1_vae_state5_seed1000_0500000steps,500000,8.500,0.0285,5.118,4.825,5.428,18.14,17.12,19.21,635.9,598.2,675.4,63.86,60.93,66.83,218.34,210.68,225.80,7561.30,7274.71,7847.98,8.252,65.95,2793.0,73.45,627.72,29521.30
act_r50_vae_seed2000_100000steps,80000,9.149,0.0488,5.293,4.964,5.633,31.73,29.82,33.70,1552.8,1452.3,1660.8,64.75,61.99,67.59,352.33,338.22,366.83,16982.24,16240.49,17745.05,8.252,65.95,2793.0,73.45,627.72,29521.30
act_r50_vae_seed3000_100000steps,80000,9.178,0.0587,5.417,5.108,5.745,37.96,35.75,40.33,1982.5,1846.8,2125.2,68.23,65.47,71.00,430.14,414.46,446.18,23057.65,22130.50,24011.32,8.252,65.95,2793.0,73.45,627.72,29521.30
