run,steps,xyz_end_mm,rot_2nd_diff_deg,rot_vel_deg_s,rot_vel_deg_s_lo,rot_vel_deg_s_hi,rot_accel_deg_s2,rot_accel_deg_s2_lo,rot_accel_deg_s2_hi,rot_jerk_deg_s3,rot_jerk_deg_s3_lo,rot_jerk_deg_s3_hi,xyz_vel_mm_s,xyz_vel_mm_s_lo,xyz_vel_mm_s_hi,xyz_accel_mm_s2,xyz_accel_mm_s2_lo,xyz_accel_mm_s2_hi,xyz_jerk_mm_s3,xyz_jerk_mm_s3_lo,xyz_jerk_mm_s3_hi,gt_rot_vel_deg_s,gt_rot_accel_deg_s2,gt_rot_jerk_deg_s3,gt_xyz_vel_mm_s,gt_xyz_accel_mm_s2,gt_xyz_jerk_mm_s3
pi05_port_seed1000_0800000steps,800000,8.961,0.0771,5.673,5.385,5.964,36.00,34.56,37.51,1464.1,1402.6,1527.8,61.10,58.31,63.92,355.91,347.08,364.84,15733.62,15243.29,16246.76,8.252,65.95,2793.0,73.45,627.72,29521.30
pi05_port_seed1000_0850000steps,850000,8.860,0.0720,5.593,5.311,5.879,34.32,32.93,35.74,1345.4,1288.8,1401.9,60.67,57.85,63.53,330.28,321.62,338.94,14298.84,13887.33,14713.44,8.252,65.95,2793.0,73.45,627.72,29521.30
pi05_port_seed1000_0900000steps,900000,8.963,0.0851,5.706,5.427,5.991,38.54,37.06,40.05,1639.7,1573.9,1708.8,61.35,58.61,64.12,387.82,378.11,397.45,17697.79,17091.54,18310.57,8.252,65.95,2793.0,73.45,627.72,29521.30
pi05_port_seed1000_1000000steps,1000000,8.979,0.0739,5.663,5.380,5.947,35.06,33.61,36.59,1388.5,1328.4,1449.7,61.81,59.02,64.63,340.32,332.20,348.57,14703.10,14266.11,15158.02,8.252,65.95,2793.0,73.45,627.72,29521.30
smolvla_axis_angle_seed1000_100000steps,100000,9.108,0.4902,10.876,10.569,11.193,162.41,156.30,168.67,8285.2,7937.3,8638.6,78.47,75.77,81.12,2159.58,2101.02,2217.49,114502.14,111147.34,117846.65,8.252,65.95,2793.0,73.45,627.72,29521.30
smolvla_masked_seed1000_0100000steps,100000,10.570,1.2835,23.039,22.517,23.550,341.12,330.40,351.82,17086.5,16470.8,17703.5,125.18,122.57,127.82,5705.81,5557.30,5854.40,313554.19,304796.73,322330.56,8.252,65.95,2793.0,73.45,627.72,29521.30
smolvla_masked_seed1000_0200000steps,200000,10.412,0.7567,14.944,14.644,15.251,224.36,216.72,232.21,11414.1,10966.1,11874.9,87.47,85.04,89.97,3059.78,2984.20,3136.81,165478.90,160885.54,170142.95,8.252,65.95,2793.0,73.45,627.72,29521.30
smolvla_masked_seed1000_0300000steps,300000,9.362,0.8285,15.849,15.492,16.206,232.33,224.11,240.80,11775.0,11289.3,12280.8,96.19,93.86,98.58,3601.67,3508.95,3696.68,195779.99,190216.08,201408.73,8.252,65.95,2793.0,73.45,627.72,29521.30
smolvla_masked_seed1000_0400000steps,400000,8.995,0.8066,15.397,15.061,15.755,226.72,219.19,234.22,11597.2,11185.4,12004.8,87.63,85.48,89.79,3107.82,3029.00,3190.46,168798.86,163998.60,173798.87,8.252,65.95,2793.0,73.45,627.72,29521.30
smolvla_masked_seed1000_0500000steps,500000,9.186,0.4897,10.816,10.522,11.126,162.58,156.14,169.23,8437.4,8055.4,8821.1,78.19,75.96,80.41,2456.10,2391.59,2523.73,133204.56,129406.96,137168.94,8.252,65.95,2793.0,73.45,627.72,29521.30
smolvla_masked_seed1000_0600000steps,600000,9.504,0.4565,10.143,9.858,10.438,148.30,143.00,153.79,7694.3,7377.8,8021.2,69.78,67.56,72.05,1760.28,1711.97,1809.95,93890.75,91000.59,96864.60,8.252,65.95,2793.0,73.45,627.72,29521.30
smolvla_masked_seed1000_0700000steps,700000,9.148,0.4462,10.292,9.989,10.605,150.59,144.82,156.35,7847.3,7513.2,8170.6,70.79,68.30,73.31,1699.68,1659.25,1740.61,90574.71,88149.58,93012.83,8.252,65.95,2793.0,73.45,627.72,29521.30
smolvla_masked_seed1000_0800000steps,800000,9.230,0.4032,9.673,9.382,9.986,137.56,132.43,142.70,7195.9,6879.1,7512.9,67.69,65.44,70.00,1613.45,1572.91,1654.14,85852.30,83373.35,88384.31,8.252,65.95,2793.0,73.45,627.72,29521.30
smolvla_masked_seed1000_0900000steps,900000,9.147,0.4036,9.560,9.266,9.868,136.05,131.27,140.79,7087.9,6802.0,7371.6,67.07,64.81,69.35,1546.44,1506.24,1587.85,82035.91,79690.68,84428.55,8.252,65.95,2793.0,73.45,627.72,29521.30
smolvla_masked_seed1000_1000000steps,1000000,9.121,0.4010,9.568,9.271,9.883,135.29,130.53,140.13,7059.1,6768.0,7355.5,68.21,65.88,70.56,1555.30,1514.18,1598.21,82465.88,80083.39,84926.76,8.252,65.95,2793.0,73.45,627.72,29521.30
smolvla_rot6d_seed1000_0100000steps,100000,10.446,1.0447,19.142,18.741,19.545,283.52,273.43,293.61,14262.2,13698.5,14830.8,108.03,105.85,110.26,4548.47,4435.75,4664.36,247859.88,241371.91,254526.51,8.252,65.95,2793.0,73.45,627.72,29521.30
smolvla_rot6d_seed1000_0200000steps,200000,10.345,0.8746,16.760,16.445,17.085,244.18,235.64,253.00,12648.9,12115.0,13210.2,92.69,90.53,94.87,3449.29,3381.58,3518.61,186438.16,182247.13,190591.15,8.252,65.95,2793.0,73.45,627.72,29521.30
smolvla_rot6d_seed1000_0300000steps,300000,9.562,1.1641,21.390,20.967,21.803,303.24,292.59,314.25,15476.2,14816.4,16170.4,106.22,103.94,108.47,4261.07,4158.04,4363.76,232039.28,225812.70,238300.40,8.252,65.95,2793.0,73.45,627.72,29521.30
smolvla_rot6d_seed1000_0400000steps,400000,9.242,0.7057,14.293,13.987,14.618,210.65,203.12,218.37,10952.3,10509.0,11411.7,87.23,84.89,89.62,2816.32,2761.81,2871.86,151202.36,148010.06,154503.49,8.252,65.95,2793.0,73.45,627.72,29521.30
smolvla_rot6d_seed1000_0500000steps,500000,9.336,0.5262,11.484,11.201,11.788,171.43,165.29,178.05,9010.1,8637.4,9417.1,76.28,74.01,78.60,2230.12,2178.90,2280.58,120346.93,117303.28,123415.49,8.252,65.95,2793.0,73.45,627.72,29521.30
smolvla_rot6d_seed1000_0600000steps,600000,9.294,0.5261,11.512,11.192,11.856,174.82,167.75,182.52,9139.7,8696.3,9625.4,70.79,68.55,73.07,1878.94,1827.96,1931.78,100493.79,97406.56,103709.78,8.252,65.95,2793.0,73.45,627.72,29521.30
smolvla_rot6d_seed1000_0700000steps,700000,9.232,0.4908,11.213,10.895,11.549,165.02,158.20,172.46,8595.5,8178.7,9051.5,74.07,71.67,76.55,1919.89,1870.74,1969.31,102193.17,99316.30,105062.40,8.252,65.95,2793.0,73.45,627.72,29521.30
smolvla_rot6d_seed1000_0800000steps,800000,9.244,0.4381,10.458,10.137,10.807,151.86,145.39,159.15,8031.7,7638.8,8469.2,68.08,65.78,70.45,1582.47,1537.92,1626.82,83841.13,81296.38,86414.01,8.252,65.95,2793.0,73.45,627.72,29521.30
smolvla_rot6d_seed1000_0900000steps,900000,9.035,0.4336,10.278,9.961,10.622,148.46,142.26,155.24,7785.0,7402.7,8196.8,69.17,66.75,71.67,1558.41,1512.57,1604.61,82413.11,79711.13,85112.74,8.252,65.95,2793.0,73.45,627.72,29521.30
smolvla_rot6d_seed1000_1000000steps,1000000,9.019,0.4302,10.214,9.897,10.560,148.81,142.60,155.51,7820.5,7435.3,8231.4,70.29,67.90,72.79,1621.83,1573.35,1670.91,86311.30,83457.79,89198.03,8.252,65.95,2793.0,73.45,627.72,29521.30
smolvla_rot6d_seed1000_100000steps,100000,9.000,0.5570,11.834,11.555,12.110,177.67,170.81,184.67,9191.5,8773.0,9619.6,78.11,75.58,80.66,2163.37,2105.94,2220.79,114805.53,111413.41,118167.77,8.252,65.95,2793.0,73.45,627.72,29521.30
