run,policy_type,step,horizon,checkpoint,action_cross_frame_mse_normalized,action_cross_frame_mse_normalized_lo,action_cross_frame_mse_normalized_hi,xyz_cross_frame_mse_mm2_per_dim,xyz_cross_frame_mse_mm2_per_dim_lo,xyz_cross_frame_mse_mm2_per_dim_hi,rotvec_cross_frame_mse_deg2_per_dim,rotvec_cross_frame_mse_deg2_per_dim_lo,rotvec_cross_frame_mse_deg2_per_dim_hi,rotation_geodesic_cross_frame_mse_deg2,rotation_geodesic_cross_frame_mse_deg2_lo,rotation_geodesic_cross_frame_mse_deg2_hi,gripper_cross_frame_mse,gripper_cross_frame_mse_lo,gripper_cross_frame_mse_hi
act_r18_diffusion_lr1e5_seed1000_100000steps,act,100000,10,/mnt/data/zfei/lerobot-act-flow-ablation/archive/report_ckpts/act_r18_diffusion_lr1e5/act_r18_diffusion_lr1e5_seed1000_100000steps/checkpoints/100000/pretrained_model,0.0070746274466509905,0.006245939154499501,0.007977986970468191,18.583462077617646,16.80841618282795,20.438403064933425,0.6441450987160207,0.5818715059349314,0.7114000575115905,1.930310252383352,1.744012120582909,2.131648142636194,0.007670794748990375,0.006314749504459338,0.009146101208954179
act_r18_diffusion_lr1e5_seed1000_100000steps,act,100000,30,/mnt/data/zfei/lerobot-act-flow-ablation/archive/report_ckpts/act_r18_diffusion_lr1e5/act_r18_diffusion_lr1e5_seed1000_100000steps/checkpoints/100000/pretrained_model,0.014358985030790791,0.01328779370435805,0.01549279424040579,56.84726153683662,51.503700998008256,62.4172098174274,2.385473078861833,2.119293620117754,2.6703542399533093,7.147755874425172,6.349976778490839,8.00062471979633,0.01291006753546753,0.011440130611690712,0.014514761741350963
act_r18_diffusion_lr1e5_seed1000_30000steps,act,30000,10,/mnt/data/zfei/lerobot-act-flow-ablation/archive/report_ckpts/act_r18_diffusion_lr1e5/act_r18_diffusion_lr1e5_seed1000_30000steps/checkpoints/030000/pretrained_model,0.015663864340865984,0.014243947133049372,0.017138375588098994,55.193941010952,49.66486986354588,61.539795753288246,2.591199147358536,2.309916793281212,2.889786414778604,7.764841980278492,6.922094107060133,8.659654956059155,0.012406260617128285,0.01047580164177143,0.014481339517642845
act_r18_diffusion_lr1e5_seed1000_30000steps,act,30000,30,/mnt/data/zfei/lerobot-act-flow-ablation/archive/report_ckpts/act_r18_diffusion_lr1e5/act_r18_diffusion_lr1e5_seed1000_30000steps/checkpoints/030000/pretrained_model,0.06035021893051454,0.05578823195138829,0.06499346759521284,294.00806259346007,265.67096521635057,323.6749083171367,17.24051827090979,15.182708167248967,19.467312069267027,51.61779920578003,45.451047531113026,58.28755294826925,0.032319568342951244,0.02822593488674901,0.03680988405040589
act_r18_diffusion_lr1e5_seed2000_100000steps,act,100000,10,/mnt/data/zfei/lerobot-act-flow-ablation/archive/report_ckpts/act_r18_diffusion_lr1e5/act_r18_diffusion_lr1e5_seed2000_100000steps/checkpoints/100000/pretrained_model,0.00815457413904369,0.00729247264059377,0.009084679979906649,23.008644657135008,20.848374268496052,25.238058210331204,0.8858145355060697,0.7985543553996832,0.9769534679606561,2.654848177909851,2.3936719895303242,2.9278371817097066,0.008319446233123017,0.006959764004677891,0.009791255663935683
act_r18_diffusion_lr1e5_seed2000_100000steps,act,100000,30,/mnt/data/zfei/lerobot-act-flow-ablation/archive/report_ckpts/act_r18_diffusion_lr1e5/act_r18_diffusion_lr1e5_seed2000_100000steps/checkpoints/100000/pretrained_model,0.020651844597538004,0.019087390284231526,0.022334364405309316,89.91768658947946,81.60575596809389,98.96789645449519,4.507411704108119,3.990110884749144,5.054181842667237,13.503259400308131,11.954512938822813,15.139192645569144,0.01512512638933549,0.013212893448530482,0.017216233359984283
act_r18_diffusion_lr1e5_seed3000_100000steps,act,100000,10,/mnt/data/zfei/lerobot-act-flow-ablation/archive/report_ckpts/act_r18_diffusion_lr1e5/act_r18_diffusion_lr1e5_seed3000_100000steps/checkpoints/100000/pretrained_model,0.006821258465235586,0.0060002289045107335,0.007702648542648239,20.044509211897847,18.283290148919818,21.80315174309312,0.7218490490727126,0.6605268002304251,0.7841722748643724,2.1632462574243543,1.979518799314648,2.3501880290158086,0.006939457508664418,0.005603198714780095,0.008388107784171872
act_r18_diffusion_lr1e5_seed3000_100000steps,act,100000,30,/mnt/data/zfei/lerobot-act-flow-ablation/archive/report_ckpts/act_r18_diffusion_lr1e5/act_r18_diffusion_lr1e5_seed3000_100000steps/checkpoints/100000/pretrained_model,0.018479399052215743,0.016967057918375942,0.020071528878531537,87.29080154037476,79.72005813441275,95.35070083643197,4.1426076856851575,3.7131648898854848,4.600688354054839,12.410745395123959,11.125438537645342,13.78123367890418,0.01254781089314838,0.01076464478444252,0.014511862395079353
act_r18_flow_beta_lr1e4_seed1000_30000steps,act,30000,10,/mnt/data/zfei/lerobot-act-flow-ablation/archive/report_ckpts/act_r18_flow_beta_lr1e4/act_r18_flow_beta_lr1e4_seed1000_30000steps/checkpoints/030000/pretrained_model,0.12282842688541859,0.11370146922748532,0.13238611629575028,225.4097134046554,201.26606428806787,250.75316854634286,3.6718089691996574,3.2137197294965407,4.164178842160105,11.000400230169294,9.627857510653136,12.478264259877788,0.16909572684418525,0.15457348855295353,0.18388017582272814
act_r18_flow_beta_lr1e4_seed1000_30000steps,act,30000,30,/mnt/data/zfei/lerobot-act-flow-ablation/archive/report_ckpts/act_r18_flow_beta_lr1e4/act_r18_flow_beta_lr1e4_seed1000_30000steps/checkpoints/030000/pretrained_model,0.11513190740346907,0.10724223809372636,0.12339773701617963,279.3306374988556,248.71860226273535,311.96588020849225,4.863789525568485,4.241899654403329,5.533912249644099,14.570691073179246,12.706125701510908,16.574737706762548,0.16130712780141038,0.14839509463526337,0.17471064968112762
act_r18_flow_u_lr1e4_seed1000_30000steps,act,30000,10,/mnt/data/zfei/lerobot-act-flow-ablation/archive/report_ckpts/act_r18_flow_u_lr1e4/act_r18_flow_u_lr1e4_seed1000_30000steps/checkpoints/030000/pretrained_model,0.15267491261288524,0.1406201562692179,0.16478951704704672,497.7268819160462,443.71961516017893,555.5209844166754,13.224890417933466,11.527652570813151,15.015174394065879,39.62228713071346,34.535715394651895,44.98956583044231,0.16294825114173,0.1461031310030114,0.18039787659094292
act_r18_flow_u_lr1e4_seed1000_30000steps,act,30000,30,/mnt/data/zfei/lerobot-act-flow-ablation/archive/report_ckpts/act_r18_flow_u_lr1e4/act_r18_flow_u_lr1e4_seed1000_30000steps/checkpoints/030000/pretrained_model,0.1568781330958009,0.14594429103229198,0.16819024366880767,595.4073041229246,533.0671829476354,662.4474376842498,17.174964483082295,14.899774626313148,19.58331857795566,51.4557172615528,44.64283016901016,58.66797202345726,0.16934526810499664,0.15391379352193987,0.18551916548295233
act_r18_flow_u_lr1e5_seed1000_100000steps,act,100000,10,/mnt/data/zfei/lerobot-act-flow-ablation/archive/report_ckpts/act_r18_flow_u_lr1e5/act_r18_flow_u_lr1e5_seed1000_100000steps/checkpoints/100000/pretrained_model,0.0032062341426499184,0.0028617475917359116,0.00356957057855907,12.717923506438733,11.58031806420684,13.963059614911673,0.4171327110230923,0.3791439233347774,0.4565481173852456,1.2499102138280866,1.1360582626350226,1.3681622358925642,0.0027397454352303613,0.0021821982867959826,0.003324778235578696
act_r18_flow_u_lr1e5_seed1000_100000steps,act,100000,30,/mnt/data/zfei/lerobot-act-flow-ablation/archive/report_ckpts/act_r18_flow_u_lr1e5/act_r18_flow_u_lr1e5_seed1000_100000steps/checkpoints/100000/pretrained_model,0.009067531746171881,0.008447592256458303,0.009715643118518346,46.39065735864639,42.60476082719564,50.26773058270217,1.9701643471717836,1.7780691310659047,2.1665055889703337,5.9021461725235,5.325903456966579,6.490343526214363,0.005858022822827479,0.005194931688374709,0.0065483233947241405
act_r18_flow_u_lr1e5_seed1000_30000steps,act,30000,10,/mnt/data/zfei/lerobot-act-flow-ablation/archive/report_ckpts/act_r18_flow_u_lr1e5/act_r18_flow_u_lr1e5_seed1000_30000steps/checkpoints/030000/pretrained_model,0.007468968155793846,0.0067315548054903045,0.008259482387296157,28.477948425292972,26.24005163265467,30.71947153940201,1.1477031268477438,1.054680477017164,1.244658724670111,3.439490470230579,3.1607356280624868,3.7302871311441064,0.0058599906635390655,0.004709663824562175,0.007111726071386054
act_r18_flow_u_lr1e5_seed1000_30000steps,act,30000,30,/mnt/data/zfei/lerobot-act-flow-ablation/archive/report_ckpts/act_r18_flow_u_lr1e5/act_r18_flow_u_lr1e5_seed1000_30000steps/checkpoints/030000/pretrained_model,0.023260121205123142,0.021670146999956355,0.024940671653987383,120.9168931980133,110.0042888987184,132.30796550523044,5.880543512403965,5.293053099340947,6.49539644292891,17.617201910972597,15.858412526062136,19.459527738675476,0.012857851250184469,0.011310672766648712,0.014519200302990797
act_r18_flow_u_lr1e5_seed2000_100000steps,act,50000,10,/mnt/data/zfei/lerobot-act-flow-ablation/archive/report_ckpts/act_r18_flow_u_lr1e5/act_r18_flow_u_lr1e5_seed2000_100000steps/checkpoints/050000/pretrained_model,0.005663854938873556,0.005156503701629118,0.0061864219719747785,31.04914379930496,28.155337044620527,34.1807948321104,1.0124139422625307,0.9166680945798762,1.1125977644063532,3.0345546403825274,2.7478319598734378,3.334747086467592,0.0031855869388991774,0.002501032691875617,0.003930657105727459
act_r18_flow_u_lr1e5_seed2000_100000steps,act,50000,30,/mnt/data/zfei/lerobot-act-flow-ablation/archive/report_ckpts/act_r18_flow_u_lr1e5/act_r18_flow_u_lr1e5_seed2000_100000steps/checkpoints/050000/pretrained_model,0.01592001092596911,0.0146827476292412,0.017187702051573425,98.91693984985349,90.86360503267043,107.3969934367061,4.118571090251208,3.7150243297368286,4.5428465488374234,12.340663856804373,11.131012905481455,13.611639286889137,0.0070404382445376544,0.00602852977968687,0.00809857644294961
act_r18_flow_u_lr1e5_seed3000_100000steps,act,50000,10,/mnt/data/zfei/lerobot-act-flow-ablation/archive/report_ckpts/act_r18_flow_u_lr1e5/act_r18_flow_u_lr1e5_seed3000_100000steps/checkpoints/050000/pretrained_model,0.0041973074546549465,0.0037594752673583568,0.004672628680424532,16.64017286920548,15.356091283380982,17.98993320343494,0.5549436280056834,0.5124114445749671,0.6005152168704198,1.6629628646075725,1.535501777007432,1.7995878596544268,0.0035230600578943267,0.002854808275244887,0.004267348038727867
act_r18_flow_u_lr1e5_seed3000_100000steps,act,50000,30,/mnt/data/zfei/lerobot-act-flow-ablation/archive/report_ckpts/act_r18_flow_u_lr1e5/act_r18_flow_u_lr1e5_seed3000_100000steps/checkpoints/050000/pretrained_model,0.011366692633018831,0.010473274604172914,0.012318637265678266,64.16240928697586,58.547998720431316,70.29561015870571,2.4930165372490887,2.2487557109571985,2.748686961485446,7.469301573276519,6.7386406278848625,8.235006441302597,0.006847338274179493,0.005900017765310259,0.007890807509464682
act_r18_l1_seed1000_100000steps,act,100000,10,/mnt/data/zfei/lerobot-act-flow-ablation/archive/report_ckpts/act_r18_l1/act_r18_l1_seed1000_100000steps/checkpoints/100000/pretrained_model,0.0013895140176755378,0.0010591914444370108,0.001767309603071907,5.184376733079553,4.176608904995025,6.524083068825673,0.07183210206101649,0.0632325445431401,0.08130557486106409,0.21528767779492775,0.18952855698278293,0.24362655072401404,0.0015932872463222116,0.0010755133184788329,0.0021885287420447498
act_r18_l1_seed1000_100000steps,act,100000,30,/mnt/data/zfei/lerobot-act-flow-ablation/archive/report_ckpts/act_r18_l1/act_r18_l1_seed1000_100000steps/checkpoints/100000/pretrained_model,0.0022242924656438847,0.0019331246378408186,0.002535706640606986,9.762128594085574,8.178293889811263,11.875742791143438,0.2720392966489308,0.23880823106158058,0.30983002031259227,0.8149799891971051,0.7154430167968382,0.9281157535601406,0.002221174064248611,0.001814764402899176,0.002670020680322308
act_r18_l1_seed1000_30000steps,act,30000,10,/mnt/data/zfei/lerobot-act-flow-ablation/archive/report_ckpts/act_r18_l1/act_r18_l1_seed1000_30000steps/checkpoints/030000/pretrained_model,0.0014526663535634724,0.0010917534413272276,0.0018540838377508854,6.059820492126048,4.556522380999289,8.360576494400942,0.07816543845075649,0.06368424533237124,0.09709780142788657,0.23427320945821706,0.19089759606402362,0.2909591680309501,0.001606743740652986,0.0010548984949488574,0.002226272955365905
act_r18_l1_seed1000_30000steps,act,30000,30,/mnt/data/zfei/lerobot-act-flow-ablation/archive/report_ckpts/act_r18_l1/act_r18_l1_seed1000_30000steps/checkpoints/030000/pretrained_model,0.0027981682003728565,0.0023253182930901856,0.003344823377749025,15.062747719839212,11.907482437187808,19.95872569878697,0.33468548639223433,0.2690171925631497,0.42536210283313997,1.0028058996675535,0.8061427502442502,1.2740989568833374,0.0026300259666588418,0.002034457472696703,0.003282912498908352
act_r18_l1_seed2000_100000steps,act,100000,10,/mnt/data/zfei/lerobot-act-flow-ablation/archive/report_ckpts/act_r18_l1/act_r18_l1_seed2000_100000steps/checkpoints/100000/pretrained_model,0.0013367303393752084,0.0010250121762164777,0.0016868453661445981,5.45775838662684,4.125685133711621,7.324798929515112,0.06964680528547615,0.06049338871892541,0.08033031707576009,0.20874480283912278,0.18131226100295317,0.24075964135464736,0.0014944885073918976,0.00100719804828298,0.0020478470142552318
act_r18_l1_seed2000_100000steps,act,100000,30,/mnt/data/zfei/lerobot-act-flow-ablation/archive/report_ckpts/act_r18_l1/act_r18_l1_seed2000_100000steps/checkpoints/100000/pretrained_model,0.0022191831091513447,0.0019617827630749158,0.0024998333585062936,10.836454676002266,8.840014374486922,13.537420252960365,0.28352281469083396,0.2512562896053132,0.3210946422091743,0.849379810665734,0.7528317246620425,0.9621187050692851,0.002081084218095686,0.0017446918710818675,0.0024350240603032303
act_r18_l1_seed3000_100000steps,act,100000,10,/mnt/data/zfei/lerobot-act-flow-ablation/archive/report_ckpts/act_r18_l1/act_r18_l1_seed3000_100000steps/checkpoints/100000/pretrained_model,0.0014012257441245305,0.0010950265988888986,0.001742124926214545,5.182262290570885,4.091754682966134,6.590945885914193,0.07093670217588077,0.06257391989215103,0.08036049706163173,0.21257085336162707,0.18754758823192672,0.2407750192659615,0.001616764228639419,0.0011192289074388071,0.0021772178100126897
act_r18_l1_seed3000_100000steps,act,100000,30,/mnt/data/zfei/lerobot-act-flow-ablation/archive/report_ckpts/act_r18_l1/act_r18_l1_seed3000_100000steps/checkpoints/100000/pretrained_model,0.002143217961920527,0.001889270303647754,0.002418731239682575,9.561524220824241,8.226160073667764,11.119240497389807,0.28407375618582587,0.256392542429315,0.31381814245432604,0.8509678659979255,0.7680284669247451,0.9399837695942724,0.0020680012652080303,0.0016802187764665439,0.0024885716186861333
act_r18_vae_seed1000_100000steps,act,100000,10,/mnt/data/zfei/lerobot-act-flow-ablation/archive/report_ckpts/act_r18_vae/act_r18_vae_seed1000_100000steps/checkpoints/100000/pretrained_model,0.0012121241764480146,0.0009361014482410837,0.0015300202508646183,4.27907929616794,3.7736302891789952,4.805620866213646,0.0674469019556418,0.058552337614691356,0.07755132055477007,0.20215934940520675,0.17552517785460228,0.23239633724736047,0.001394124866808119,0.0009540061559943801,0.0018951484533989947
act_r18_vae_seed1000_100000steps,act,100000,30,/mnt/data/zfei/lerobot-act-flow-ablation/archive/report_ckpts/act_r18_vae/act_r18_vae_seed1000_100000steps/checkpoints/100000/pretrained_model,0.002155142709190841,0.0018607195398732076,0.002495002705323896,9.083033743172884,7.952214052056527,10.270039809161423,0.2463073154392187,0.2171904382628564,0.27793291310409557,0.7379660696368662,0.6506451152014548,0.832814731379924,0.002206471919982468,0.0017707089728591044,0.0027166333119990364
