idx,des_x,des_y,des_z,ach_x,ach_y,ach_z,exp_x,exp_y,exp_z,err_x,err_y,err_z,err_norm,q0_cmd_deg,q1_cmd_deg,q2_cmd_deg,q3_cmd_deg,q4_cmd_deg,q0_meas_deg,q1_meas_deg,q2_meas_deg,q3_meas_deg,q4_meas_deg
0,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.0,0.0,0.0,0.0,-2.5934065934065935,-69.27472527472527,52.61538461538461,38.24175824175824,1.3186813186813187,-2.5934065934065935,-69.27472527472527,52.61538461538461,38.24175824175824,1.3186813186813187
1,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.0,0.0,0.0,0.0,-2.5934065934065935,-69.27472527472527,52.61538461538461,38.24175824175824,1.3186813186813187,-2.5934065934065935,-69.27472527472527,52.61538461538461,38.24175824175824,1.3186813186813187
2,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.0,0.0,0.0,0.0,-2.5934065934065935,-69.27472527472527,52.61538461538461,38.24175824175824,1.3186813186813187,-2.5934065934065935,-69.27472527472527,52.61538461538461,38.24175824175824,1.3186813186813187
3,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.0,0.0,0.0,0.0,-2.5934065934065935,-69.27472527472527,52.61538461538461,38.24175824175824,1.3186813186813187,-2.5934065934065935,-69.27472527472527,52.61538461538461,38.24175824175824,1.3186813186813187
4,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.0,0.0,0.0,0.0,-2.5934065934065935,-69.27472527472527,52.61538461538461,38.24175824175824,1.3186813186813187,-2.5934065934065935,-69.27472527472527,52.61538461538461,38.24175824175824,1.3186813186813187
5,0.24655757239606432,0.009216634088234745,0.1603616072405428,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.24655757239606438,0.009216634088234747,0.16036160724054274,-2.7755575615628914e-17,0.0,-2.7755575615628914e-17,3.925231146709438e-17,-2.593406593406593,-69.27472527472526,52.615384615384606,38.24175824175823,1.3186813186813187,-2.5934065934065935,-69.27472527472527,52.61538461538461,38.24175824175824,1.3186813186813187
6,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.0,0.0,0.0,0.0,-2.5934065934065935,-69.27472527472527,52.61538461538461,38.24175824175824,1.3186813186813187,-2.5934065934065935,-69.27472527472527,52.61538461538461,38.24175824175824,1.3186813186813187
7,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.0,0.0,0.0,0.0,-2.5934065934065935,-69.27472527472527,52.61538461538461,38.24175824175824,1.3186813186813187,-2.5934065934065935,-69.27472527472527,52.61538461538461,38.24175824175824,1.3186813186813187
8,0.24655757239606427,0.009216634088234745,0.16036160724054277,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.2465575723960643,0.009216634088234745,0.16036160724054274,2.7755575615628914e-17,0.0,0.0,2.7755575615628914e-17,-2.593406593406594,-69.27472527472528,52.61538461538461,38.241758241758255,1.3186813186813187,-2.5934065934065935,-69.27472527472527,52.61538461538461,38.24175824175824,1.3186813186813187
9,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.0,0.0,0.0,0.0,-2.5934065934065935,-69.27472527472527,52.61538461538461,38.24175824175824,1.3186813186813187,-2.5934065934065935,-69.27472527472527,52.61538461538461,38.24175824175824,1.3186813186813187
10,0.24655757239606427,0.009216634088234744,0.16036160724054277,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.2465575723960643,0.009216634088234745,0.16036160724054274,2.7755575615628914e-17,1.734723475976807e-18,0.0,2.7809732887839817e-17,-2.5934065934065935,-69.27472527472528,52.61538461538461,38.241758241758255,1.3186813186813187,-2.5934065934065935,-69.27472527472527,52.61538461538461,38.24175824175824,1.3186813186813187
11,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.0,0.0,0.0,0.0,-2.5934065934065935,-69.27472527472527,52.61538461538461,38.24175824175824,1.3186813186813187,-2.5934065934065935,-69.27472527472527,52.61538461538461,38.24175824175824,1.3186813186813187
12,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.0,0.0,0.0,0.0,-2.5934065934065935,-69.27472527472527,52.61538461538461,38.24175824175824,1.3186813186813187,-2.5934065934065935,-69.27472527472527,52.61538461538461,38.24175824175824,1.3186813186813187
13,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.0,0.0,0.0,0.0,-2.5934065934065935,-69.27472527472527,52.61538461538461,38.24175824175824,1.3186813186813187,-2.5934065934065935,-69.27472527472527,52.61538461538461,38.24175824175824,1.3186813186813187
14,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.0,0.0,0.0,0.0,-2.5934065934065935,-69.27472527472527,52.61538461538461,38.24175824175824,1.3186813186813187,-2.5934065934065935,-69.27472527472527,52.61538461538461,38.24175824175824,1.3186813186813187
15,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.0,0.0,0.0,0.0,-2.5934065934065935,-69.27472527472527,52.61538461538461,38.24175824175824,1.3186813186813187,-2.5934065934065935,-69.27472527472527,52.61538461538461,38.24175824175824,1.3186813186813187
16,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.0,0.0,0.0,0.0,-2.5934065934065935,-69.27472527472527,52.61538461538461,38.24175824175824,1.3186813186813187,-2.5934065934065935,-69.27472527472527,52.61538461538461,38.24175824175824,1.3186813186813187
17,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.0,0.0,0.0,0.0,-2.5934065934065935,-69.27472527472527,52.61538461538461,38.24175824175824,1.3186813186813187,-2.5934065934065935,-69.27472527472527,52.61538461538461,38.24175824175824,1.3186813186813187
18,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.0,0.0,0.0,0.0,-2.5934065934065935,-69.27472527472527,52.61538461538461,38.24175824175824,1.3186813186813187,-2.5934065934065935,-69.27472527472527,52.61538461538461,38.24175824175824,1.3186813186813187
19,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.0,0.0,0.0,0.0,-2.5934065934065935,-69.27472527472527,52.61538461538461,38.24175824175824,1.3186813186813187,-2.5934065934065935,-69.27472527472527,52.61538461538461,38.24175824175824,1.3186813186813187
20,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.0,0.0,0.0,0.0,-2.5934065934065935,-69.27472527472527,52.61538461538461,38.24175824175824,1.3186813186813187,-2.5934065934065935,-69.27472527472527,52.61538461538461,38.24175824175824,1.3186813186813187
21,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.0,0.0,0.0,0.0,-2.5934065934065935,-69.27472527472527,52.61538461538461,38.24175824175824,1.3186813186813187,-2.5934065934065935,-69.27472527472527,52.61538461538461,38.24175824175824,1.3186813186813187
22,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.24652312676744337,0.009215074786122511,0.15994290158165456,0.2465575723960643,0.009216634088234745,0.16036160724054277,-3.444562862092715e-05,-1.5593021122344702e-06,-0.0004187056588882132,0.00042012303143148535,-2.5934065934065935,-69.27472527472527,52.61538461538461,38.24175824175824,1.3186813186813187,-2.5934065934065935,-69.27472527472527,52.7032967032967,38.24175824175824,1.3186813186813187
23,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.24652312676744337,0.009215074786122511,0.15994290158165456,0.24655717387624898,0.009216616034875304,0.16036168279252538,-3.444562862092715e-05,-1.5593021122344702e-06,-0.0004187056588882132,0.00042012303143148535,-2.593406728348902,-69.30434197893894,52.65137403251256,38.21028634386337,1.3186848683201242,-2.5934065934065935,-69.27472527472527,52.7032967032967,38.24175824175824,1.3186813186813187
24,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.24652312676744337,0.009215074786122511,0.15994290158165456,0.24655717387624898,0.009216616034875304,0.16036168279252538,-3.444562862092715e-05,-1.5593021122344702e-06,-0.0004187056588882132,0.00042012303143148535,-2.593406728348902,-69.30434197893894,52.65137403251256,38.21028634386337,1.3186848683201242,-2.5934065934065935,-69.27472527472527,52.7032967032967,38.24175824175824,1.3186813186813187
25,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.24652312676744337,0.009215074786122511,0.15994290158165456,0.24655717387624898,0.009216616034875304,0.16036168279252538,-3.444562862092715e-05,-1.5593021122344702e-06,-0.0004187056588882132,0.00042012303143148535,-2.593406728348902,-69.30434197893894,52.65137403251256,38.21028634386337,1.3186848683201242,-2.5934065934065935,-69.27472527472527,52.7032967032967,38.24175824175824,1.3186813186813187
26,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.24652312676744337,0.009215074786122511,0.15994290158165456,0.24655717387624898,0.009216616034875304,0.16036168279252538,-3.444562862092715e-05,-1.5593021122344702e-06,-0.0004187056588882132,0.00042012303143148535,-2.593406728348902,-69.30434197893894,52.65137403251256,38.21028634386337,1.3186848683201242,-2.5934065934065935,-69.27472527472527,52.7032967032967,38.24175824175824,1.3186813186813187
27,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.24652312676744337,0.009215074786122511,0.15994290158165456,0.24655717387624898,0.009216616034875304,0.16036168279252538,-3.444562862092715e-05,-1.5593021122344702e-06,-0.0004187056588882132,0.00042012303143148535,-2.593406728348902,-69.30434197893894,52.65137403251256,38.21028634386337,1.3186848683201242,-2.5934065934065935,-69.27472527472527,52.7032967032967,38.24175824175824,1.3186813186813187
28,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.24652312676744337,0.009215074786122511,0.15994290158165456,0.24655717387624898,0.009216616034875304,0.16036168279252538,-3.444562862092715e-05,-1.5593021122344702e-06,-0.0004187056588882132,0.00042012303143148535,-2.593406728348902,-69.30434197893894,52.65137403251256,38.21028634386337,1.3186848683201242,-2.5934065934065935,-69.27472527472527,52.7032967032967,38.24175824175824,1.3186813186813187
29,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.24652312676744337,0.009215074786122511,0.15994290158165456,0.24655717387624898,0.009216616034875304,0.16036168279252538,-3.444562862092715e-05,-1.5593021122344702e-06,-0.0004187056588882132,0.00042012303143148535,-2.593406728348902,-69.30434197893894,52.65137403251256,38.21028634386337,1.3186848683201242,-2.5934065934065935,-69.27472527472527,52.7032967032967,38.24175824175824,1.3186813186813187
30,0.2465575723960643,0.009216634088234745,0.16036160724054277,0.24652312676744337,0.009215074786122511,0.15994290158165456,0.24655717387624898,0.009216616034875304,0.16036168279252538,-3.444562862092715e-05,-1.5593021122344702e-06,-0.0004187056588882132,0.00042012303143148535,-2.593406728348902,-69.30434197893894,52.65137403251256,38.21028634386337,1.3186848683201242,-2.5934065934065935,-69.27472527472527,52.7032967032967,38.24175824175824,1.3186813186813187
31,0.2503250035678231,0.009216634088234745,0.16036160724054277,0.24653702189833654,0.008896397127885907,0.15994290073601464,0.250320325801704,0.009213313788134647,0.16031095556628724,-0.003787981669486573,-0.00032023696034883843,-0.0004187065045281324,0.0038244832299375972,-2.5465020386379575,-67.41945789355275,52.46858455173912,36.2477606627936,1.3208856694375066,-2.5054945054945055,-69.27472527472527,52.7032967032967,38.24175824175824,1.3186813186813187
32,0.2540775664099226,0.009216634088234745,0.16036160724054277,0.24696728211140248,0.008915229586729263,0.15887819377719567,0.25405262397462597,0.009215194569134529,0.16015250489803753,-0.007110284298520092,-0.0003014045015054829,-0.0014834134633470997,0.007269628806379908,-2.502842441511115,-65.5418831720161,52.28650379611223,34.2928453011245,1.3196195200426843,-2.5054945054945055,-68.92307692307692,52.79120879120879,38.065934065934066,1.3186813186813187
33,0.25780045127120776,0.009216634088234745,0.16036160724054277,0.2489176588694111,0.008677661378939761,0.1585249561469125,0.25785478938924633,0.009210006999864103,0.16018307899444012,-0.008882792401796652,-0.0005389727092949843,-0.001836651093630265,0.009086681444538175,-2.4581587705336148,-63.6584218933562,52.07018551242992,32.278969419155864,1.3216786409349208,-2.4175824175824174,-67.95604395604396,52.79120879120879,37.010989010989015,1.3186813186813187
34,0.2614789656259556,0.009216634088234745,0.16036160724054277,0.25133927663381983,0.00812674712071381,0.15875225195337625,0.2616079624999904,0.00888022192831121,0.1597459081370637,-0.010139688992135742,-0.0010898869675209349,-0.0016093552871665195,0.010324300019833867,-2.332049941697739,-61.70532190892042,51.82758434170258,30.365008758202787,1.3199753630129363,-2.241758241758242,-66.9010989010989,52.79120879120879,35.604395604395606,1.3186813186813187
35,0.2650985920585611,0.009216634088234745,0.16036160724054277,0.2541031617119776,0.007904185732676323,0.159248861936741,0.26521301140183534,0.009257126067840621,0.15959961826117447,-0.010995430346583512,-0.001312448355558422,-0.0011127453038017598,0.011129250257933394,-2.3899979030365093,-59.898842549201675,51.62107752374857,28.419862671406012,1.314676716920691,-2.1538461538461537,-65.67032967032966,52.7032967032967,34.02197802197802,1.3186813186813187
36,0.26864504555714497,0.009216634088234745,0.16036160724054277,0.2567821474762979,0.007670104739597442,0.15999006499367294,0.2686070100704666,0.009266836221435714,0.15955216081941212,-0.011862898080847062,-0.0015465293486373035,-0.0003715422468698326,0.011969049567278536,-2.357080932465028,-58.1722752949748,51.335726001170386,26.65716827119345,1.3127957236794663,-2.065934065934066,-64.52747252747253,52.61538461538461,32.43956043956044,1.3186813186813187
37,0.27210432988996863,0.009216634088234745,0.16036160724054277,0.25965033054752107,0.007434363212267629,0.16105673232790546,0.272230903352985,0.009291746907494316,0.15932248449869796,-0.012453999342447564,-0.0017822708759671164,0.0006951250873626913,0.012600070951549676,-2.3265565852435293,-56.31990142202706,51.05666597510999,24.74623546389465,1.3108712499367066,-1.978021978021978,-63.2967032967033,52.43956043956044,30.76923076923077,1.3186813186813187
38,0.27546279284216724,0.009216634088234745,0.16036160724054277,0.26272407081253624,0.007540536151700019,0.16234986589094164,0.2754330145385051,0.009304127393694843,0.15927812517130896,-0.012738722029631,-0.0016760979365347262,0.0019882586503988664,0.013001442831545583,-2.29802438257219,-54.66882503488306,50.718616259697285,23.118316218618762,1.3088947215972442,-1.978021978021978,-61.89010989010989,52.08791208791209,29.0989010989011,1.3186813186813187
39,0.2787071800948041,0.009216634088234745,0.16036160724054277,0.26604959330634104,0.007655404458636301,0.164381325271771,0.27899219605902614,0.009308285210582365,0.1597517606221961,-0.012657586788463071,-0.0015612296295984445,0.00401971803122822,0.01337198842036562,-2.2650299047962124,-52.842828261212816,50.156909741311196,21.43871484803079,1.3101955062932662,-1.978021978021978,-60.395604395604394,51.56043956043956,27.34065934065934,1.3186813186813187
40,0.28182468753361267,0.009216634088234745,0.16036160724054277,0.2690680376339102,0.007759667031602644,0.16577847111022662,0.2819073619947459,0.009290527449211128,0.15902784659328612,-0.012756649899702488,-0.0014569670566321018,0.005416863869683847,0.013935468555107036,-2.233745885706184,-51.16865703595771,49.70898910906151,20.18588109503233,1.3113614512867693,-1.978021978021978,-58.989010989010985,51.120879120879124,25.75824175824176,1.3186813186813187
41,0.28480301178098566,0.009216634088234745,0.16036160724054277,0.27238696544594815,0.007874312661245744,0.16587927418694756,0.2847650645613402,0.00927768326752038,0.15874455135875776,-0.012416046335037512,-0.001342321426989002,0.005517666946404792,0.01365300999555044,-2.2048564740242056,-49.58345479022335,49.198495531586246,18.97972250744177,1.3124223310204588,-1.978021978021978,-57.23076923076923,50.68131868131868,24.175824175824175,1.3186813186813187
42,0.28763039875178564,0.009216634088234745,0.16036160724054277,0.27563831749956846,0.007986626858242168,0.16490970549099332,0.28770295060816975,0.009272699918185655,0.15902914563571802,-0.01199208125221718,-0.001230007229992577,0.00454809825045055,0.012884414159804245,-2.1777326862508395,-48.04546718551023,48.61896174136916,17.727265304963794,1.313363587914543,-1.978021978021978,-55.38461538461539,50.32967032967033,22.681318681318682,1.3186813186813187
43,0.290295690041349,0.009216634088234745,0.16036160724054277,0.27886441057681854,0.008098070265413152,0.16328731317768902,0.2905109546318446,0.009269568663067725,0.15956602867703468,-0.01143127946453043,-0.0011185638228215933,0.00292570593714625,0.01185264065314448,-2.152768271501824,-46.594899662861884,47.97143133549551,16.610908733815254,1.314202618011644,-1.978021978021978,-53.45054945054945,49.97802197802198,21.274725274725274,1.3186813186813187
44,0.2927883669626117,0.009216634088234745,0.16036160724054277,0.281667497130314,0.008194904139082738,0.16075935443962489,0.292960937371077,0.009260076980330802,0.15869770064394131,-0.011120869832297653,-0.0010217299491520077,0.00039774719908211575,0.011174787727302916,-2.1299141282350846,-45.14982482232985,47.496066948685296,15.691103902249063,1.3149361716209294,-1.978021978021978,-51.604395604395606,49.714285714285715,20.13186813186813,1.3186813186813187
45,0.29509859205856115,0.009216634088234745,0.16036160724054277,0.28441967307212823,0.008667252832735776,0.1581320510378419,0.29526528468993907,0.009253653056534077,0.1591767474525501,-0.010678918986432917,-0.000549381255498969,-0.0022295562027008775,0.010923005600277471,-2.1093747988304585,-43.98060593116653,46.944776789060136,14.792611985520884,1.3155912164816208,-2.065934065934066,-49.75824175824176,49.45054945054945,18.98901098901099,1.3186813186813187
46,0.2972172479261852,0.009216634088234745,0.16036160724054277,0.28707995832199995,0.008763239915236727,0.15594763142301046,0.2975776537081206,0.009234339426340938,0.1600014574860606,-0.010137289604185251,-0.000453394172998018,-0.004413975817532306,0.011065865954049457,-2.0863734016955866,-42.86384967190417,46.36527788663801,13.880086131174274,1.3191190834306552,-2.065934065934066,-48.0,49.0989010989011,17.934065934065934,1.3186813186813187
47,0.2991359731986961,0.009216634088234745,0.16036160724054277,0.2895641582463838,0.008852874449663825,0.15357820091910324,0.29930074792349454,0.009223494758009525,0.1594870429972453,-0.009571814952312296,-0.00036375963857092006,-0.0067834063214395335,0.0117374002180086,-2.0702105262004142,-41.867220657778326,45.979338237040885,13.283066987141186,1.319544202360654,-2.065934065934066,-46.32967032967033,48.83516483516483,16.87912087912088,1.3186813186813187
48,0.30084719554402545,0.009216634088234745,0.16036160724054277,0.2915730380126594,0.00892535904690762,0.1514757809073822,0.3009592273547673,0.009218717686303673,0.15963934539110486,-0.009274157531366067,-0.0002912750413271263,-0.008885826333160568,0.012847285654541346,-2.056088514578696,-41.02436994091948,45.621878597842965,12.603282068392494,1.319892814171135,-2.065934065934066,-44.92307692307692,48.57142857142857,16.087912087912088,1.3186813186813187
49,0.3023441615493594,0.009216634088234745,0.16036160724054277,0.2936537171989116,0.00900043366986428,0.14954242382600413,0.3024943416761849,0.009217856488385936,0.1607800050686766,-0.008690444350447801,-0.00021620041837046473,-0.010819183414538636,0.013878951523316217,-2.043947893682329,-40.37365440957822,45.18510488517533,11.987517090683477,1.3201975642269814,-2.065934065934066,-43.51648351648352,48.30769230769231,15.208791208791208,1.3186813186813187
50,0.30362096337377353,0.009216634088234745,0.16036160724054277,0.2955333834405969,0.009068254237558823,0.14822886139964886,0.3035983182246921,0.009210232739490815,0.1606732803049402,-0.008087579933176658,-0.00014837985067592263,-0.01213274584089391,0.014581991887096113,-2.033789305652654,-39.78080695009509,44.93947996487102,11.570776810025931,1.3204119443437543,-2.065934065934066,-42.285714285714285,47.956043956043956,14.505494505494505,1.3186813186813187
51,0.3046725620637821,0.009216634088234745,0.16036160724054277,0.2970281320601651,0.009518873470447765,0.14705793334500236,0.30455934239117965,0.009206186742237976,0.16055765668694566,-0.007644430003617031,0.0003022393822130192,-0.013303673895540408,0.015346543514526132,-2.0255717350728832,-39.277208900645235,44.77228052359004,11.144423550325282,1.3205679462160125,-2.1538461538461537,-41.31868131868132,47.78021978021978,13.802197802197803,1.3186813186813187
52,0.30549480743978563,0.009216634088234745,0.16036160724054277,0.2984924398277878,0.009573958682701996,0.14548929170087124,0.3052917823109372,0.00918920918951423,0.1600317869202056,-0.007002367611997851,0.0003573245944672506,-0.014872315539671527,0.016442220122322986,-2.0164463868182714,-38.83512065410954,44.679803413182185,10.826507882886768,1.3234563333561136,-2.1538461538461537,-40.26373626373626,47.51648351648352,13.274725274725276,1.3186813186813187
53,0.306084454474933,0.009216634088234745,0.16036160724054277,0.29934432190152627,0.00960600683800173,0.14399562654095155,0.30570522908260084,0.009184588774833847,0.16047030993460687,-0.006740132573406721,0.0003893727497669853,-0.01636598069959122,0.017703850499390005,-2.012334132571799,-38.67907764589759,44.5505221296592,10.659114345489941,1.323466977330232,-2.1538461538461537,-39.56043956043956,47.42857142857143,12.923076923076923,1.3186813186813187
