idx,t_x,t_y,t_z,m_x,m_y,m_z,e_x,e_y,e_z,e_norm,t_q0,t_q1,t_q2,t_q3,t_q4,m_q0,m_q1,m_q2,m_q3,m_q4,e_q0,e_q1,e_q2,e_q3,e_q4
175,0.3560053398219681,-9.212220228946766e-06,0.22646539973406704,0.3556187274539565,-0.0012851617024232337,0.20769337153320605,-0.00038661236801157406,-0.0012759494821942868,-0.01877202820086099,0.01881931345660972,-0.0002237748524077482,-16.60334568288892,12.272891788346598,9.198153385680241,0.007361831172024099,0.21978021978021978,-16.175824175824175,15.12087912087912,9.978021978021978,0.43956043956043955,0.22000399463262751,0.42752150706474623,2.8479873325325222,0.779868592341737,0.43219860838841545
56,0.4404751582829273,-9.212064828373605e-06,0.22646914381464228,0.4447623366352466,-0.001602263826869766,0.19601956396344591,0.0042871783523192875,-0.0015930517620413925,-0.030449579851196368,0.0307911452410514,0.00020162258227600458,28.61730167619461,-27.022532525662083,-12.736719443028285,-0.007995682419145151,0.21978021978021978,30.76923076923077,-24.263736263736263,-11.912087912087912,0.26373626373626374,0.21957859719794376,2.151929093036159,2.75879626192582,0.8246315309403727,0.2717319461554089
49,0.4413367453669862,-9.212063223350714e-06,0.22646966674196625,0.44477009912351484,-0.0016022959470910964,0.19692142176533736,0.0034333537565286454,-0.0015930838838677456,-0.02954824497662889,0.02978967296694247,0.00020243871967942962,29.272601100624808,-27.752031371900074,-12.927394960123562,-0.00801973679598643,0.21978021978021978,30.76923076923077,-24.439560439560438,-11.912087912087912,0.26373626373626374,0.21957778106054035,1.4966296686059621,3.312470932339636,1.01530704803565,0.2717560005322502
187,0.37150184576653567,-9.212303283688425e-06,0.22646196991576462,0.37600941363674617,-0.0013390087930272901,0.2110227001898874,0.004507567870210505,-0.0013297964897436016,-0.015439269725877225,0.01613869810353603,-0.00011251142407103102,-9.509815746819893,7.4254510954664905,4.964155360271815,0.003827824135743689,0.21978021978021978,-6.945054945054945,7.824175824175824,4.8791208791208796,0.26373626373626374,0.21989273120429081,2.5647608017649475,0.3987247287093334,-0.08503448115093537,0.25990843960052007
93,0.4022625403647536,-9.212268701832654e-06,0.22645923998656833,0.40335045155510796,-0.0014436885866999408,0.2016357317115519,0.0010879111903543404,-0.0014344763179981082,-0.02482350827501642,0.024888709009203435,6.596872339008101e-05,5.49254932945641,-4.41658956666613,-3.1329933351389836,-0.0025324894724970933,0.21978021978021978,6.593406593406593,-1.4065934065934067,-2.065934065934066,0.26373626373626374,0.2197142510568297,1.100857263950183,3.009996160072723,1.0670592692049174,0.2662687532087608
117,0.3659076119158111,-9.21228653025626e-06,0.22646277616939994,0.3704739885512822,-0.0013178109839484709,0.2112285695094973,0.004566376635471103,-0.0013085986974182146,-0.015234206659902633,0.015957608802213533,-0.000151883292764975,-12.0904681770481,9.223442709048403,6.515179187718224,0.00512116689343508,0.21978021978021978,-9.494505494505495,9.582417582417582,6.461538461538462,0.26373626373626374,0.21993210307298475,2.5959626825426056,0.35897487336917955,-0.05364072617976223,0.2586150968428287
111,0.3744218440258885,-9.212311174598762e-06,0.2264612320707282,0.3749842026052913,-0.0013350732732254314,0.20748342445409024,0.0005623585794027885,-0.0013258609620508325,-0.018977807616637976,0.019032376005024717,-9.441182720866467e-05,-8.142730405602595,6.410186888037382,4.224501981603172,0.003234705450587357,0.21978021978021978,-7.2967032967032965,8.791208791208792,5.054945054945055,0.26373626373626374,0.21987463160742843,0.8460271088992988,2.38102190317141,0.8304430733418826,0.2605015582856764
189,0.374422019011286,-9.212310634013093e-06,0.22646146817823787,0.3749842026052913,-0.0013350732732254314,0.20748342445409024,0.0005621835940052833,-0.0013258609625914184,-0.01897804372414763,0.01903260626612004,-9.311474885264822e-05,-8.147670356108407,6.441940956414727,4.17521789524194,0.0031796169040908063,0.21978021978021978,-7.2967032967032965,8.791208791208792,5.054945054945055,0.26373626373626374,0.21987333452907243,0.85096705940511,2.349267834794065,0.8797271597031147,0.26055664683217294
115,0.3686598667632941,-9.21229686645425e-06,0.22646223103661128,0.3732351342373994,-0.0013283709229320118,0.20591860512328242,0.0045752674741053045,-0.0013191586260655574,-0.020543625913328867,0.02108823884555385,-0.00013284731274473984,-10.822288723637238,8.335322838012837,5.772019331364382,0.004505803923148562,0.21978021978021978,-8.0,9.406593406593407,5.846153846153846,0.26373626373626374,0.21991306709296451,2.8222887236372376,1.0712705685805695,0.07413451478946342,0.25923045981311515
124,0.35713314668305685,-9.212236554293575e-06,0.22646480932532853,0.3616519935790744,-0.0012840273876241314,0.2115838031946425,0.004518846896017559,-0.001274815151069838,-0.01488100613068602,0.015604149268722074,-0.00021564268444051064,-16.090887492532843,11.928019139630518,8.904124064817367,0.007118044845569266,0.21978021978021978,-13.538461538461538,12.395604395604396,8.747252747252746,0.26373626373626374,0.2199958624646603,2.552425954071305,0.46758525597387823,-0.15687131756462058,0.25661821889069447
