idx,t_x,t_y,t_z,m_x,m_y,m_z,e_x,e_y,e_z,e_norm,t_q0,t_q1,t_q2,t_q3,t_q4,m_q0,m_q1,m_q2,m_q3,m_q4,e_q0,e_q1,e_q2,e_q3,e_q4
266,0.42920816621288405,-0.03267863618848432,0.20668207280820786,0.4315202278711144,-0.031376050328530046,0.179710458310427,0.0023120616582303355,0.0013025858599542764,-0.02697161449778085,0.027101851369434406,4.780388160799391,21.68668531282595,-14.461358022980168,-12.810873113420502,0.1714670131937455,4.571428571428571,23.824175824175825,-12.131868131868131,-12.263736263736265,-0.21978021978021978,-0.20895958937081982,2.137490511349874,2.3294898911120363,0.5471368496842377,-0.39124723297396524
87,0.37892382169398103,0.04841981322118566,0.2168305243554708,0.38339435563621144,0.04897296807546227,0.19727251233512602,0.004470533942230404,0.0005531548542766079,-0.019558012020344767,0.020070064479452834,-8.100665618545795,-4.498774355441416,8.369801079897186,-3.0178086034432963,-0.16764133788732788,-8.087912087912088,-1.4945054945054945,8.967032967032967,-3.032967032967033,-0.13186813186813187,0.012753530633707655,3.0042688609359214,0.5972318871357807,-0.015158429523736583,0.03577320601919601
76,0.39030996386807176,0.04997879826888888,0.2256273686123238,0.3909868587015435,0.05005194645232974,0.20089666736879416,0.0006768948334717195,7.314818344086177e-05,-0.024730701243529635,0.024740071165399658,-8.090747885473556,1.1332445428011129,2.335733054364956,-6.311095602791075,-0.17038821954554564,-8.087912087912088,2.10989010989011,5.538461538461538,-5.318681318681318,-0.13186813186813187,0.002835797561468567,0.9766455670889971,3.2027284840965824,0.9924142841097563,0.03852008767741377
280,0.43703520966600384,-0.020344913404723677,0.21160568656733472,0.44003639905094716,-0.01785434827779041,0.18228147598663882,0.0030011893849433147,0.002490565126933266,-0.029324210580695897,0.02958241671258097,2.9208979431715067,26.293129257296716,-20.220754046132818,-14.522963175924104,0.13376329944358106,2.5494505494505493,28.483516483516482,-17.67032967032967,-13.758241758241759,-0.13186813186813187,-0.3714473937209575,2.190387226219766,2.5504243758031464,0.7647214176823454,-0.26563143131171296
144,0.34175277317328756,0.006257944281542735,0.2214957964993567,0.3451217917046372,0.006540566353578296,0.2097606955297469,0.0033690185313496324,0.0002826220720355613,-0.01173510096960978,0.012212401723949114,-1.1856991248590483,-23.976266841664792,21.655914693214648,6.68536108659531,0.015353822825155631,-1.2307692307692308,-21.978021978021978,22.153846153846153,6.549450549450549,0.21978021978021978,-0.04507010591018257,1.9982448636428138,0.49793146063150573,-0.13591053714476065,0.20442639695506415
178,0.3497138286826883,-0.02768036422025355,0.24490527996047057,0.3510140468522779,-0.026398577421486116,0.22435273111749962,0.0013002181695895842,0.0012817867987674342,-0.020552548842970947,0.020633487553700945,5.081988979009872,-19.818655930711902,15.51364608497988,2.327653452614571,0.17438021837478976,4.835164835164835,-19.252747252747252,18.54945054945055,3.120879120879121,-0.13186813186813187,-0.24682414384503737,0.56590867796465,3.0358044644706705,0.79322566826455,-0.30624835024292163
167,0.3444950117426571,-0.01743897508410398,0.23953749708584865,0.3493587853006873,-0.01860729935788814,0.2221353960095591,0.004863773558030193,-0.0011683242737841604,-0.01740210107628956,0.018106750031463552,3.2602698393573153,-22.683215758168018,18.212955512699445,4.297834675198352,0.1291510759221658,3.4285714285714284,-20.21978021978022,19.34065934065934,4.175824175824176,-0.04395604395604396,0.1683015892141131,2.463435538387799,1.1277038279598948,-0.12201049937417618,-0.17310711987820976
286,0.43922386413934356,-0.014459969426847718,0.21540108978972422,0.44327586079558257,-0.015524215533313849,0.18550768983424376,0.00405199665623901,-0.0010642461064661306,-0.02989339995548046,0.030185537225227904,2.0647582648226956,27.76150411557584,-22.488657078474432,-15.121016350175276,0.11668414000796239,2.197802197802198,30.505494505494507,-20.395604395604394,-14.637362637362637,-0.04395604395604396,0.13304393297950234,2.743990389918668,2.093052682870038,0.48365371281263947,-0.16064018396400634
179,0.35030249037857564,-0.02854648128124978,0.2452135513624791,0.3553331573551714,-0.027265250656420607,0.2318847760240992,0.005030666976595766,0.0012812306248291723,-0.013328775338379895,0.014304034891051386,5.2303834464138435,-19.498879824176345,15.249429688967869,2.1376117180031513,0.1780068398925914,4.923076923076923,-17.23076923076923,15.736263736263735,1.978021978021978,-0.04395604395604396,-0.3073065233369201,2.2681105934071155,0.48683404729586677,-0.1595897399811732,-0.22196288384863536
188,0.35637715649332186,-0.035734404189956555,0.246462588432708,0.3583430634370095,-0.03395677297469613,0.22791642645795682,0.0019659069436876453,0.0017776312152604223,-0.018546161974751174,0.01873459065051633,6.413932468011089,-16.247640752124333,12.78412561831283,0.40203275055640214,0.20650693235556228,6.065934065934066,-15.472527472527473,15.208791208791208,1.1868131868131868,-0.04395604395604396,-0.3479984020770237,0.7751132795968605,2.4246655904783783,0.7847804362567847,-0.25046297631160624
